_id,name_comp,vid_oper,contr_terr,uchastie,contr_numb,admin_edin,contr_srok,id,example_field1,example_field2
6566e2213e7a16b38ea1d261,"ТОО ""Каракудукмунай""",Добыча,"месторождение Каракудук в пределах блоков XXXIII-15-С (частично), Р(частично), 16-А (частично), D (частично). ",Caspian Investments Zhambai B.V.;,31-увс от 28.06.1995 года ,Мангистауская область,31.12.2035г. ,1,,
6566e2213e7a16b38ea1d262,ТОО  «Grand\nResource»,Разведка и добыча    ,Площадь Чингиз-Телсу, \nЕЛЮБАЕВ АРМАН МЕЙРАМОВИЧ;\n,212 от 17.08.1998 года,Западно-Казахстанская область ,20.03.2023,10,,
6566e2213e7a16b38ea1d263,"АО ""НК ""Казмунайгаз""",Разведка и добыча,на разведку и добычу на участке Тургай полеозой (участок 8),"АО ""Фонд национального благосостояния ""Самрук-Казына""                                                                                                        РГУ ""Национальный Банк Республики Казахстан""",4958-УВС от 24.08.2021 года ,Кызылординская область,24.08.2030г.,100,,
6566e2213e7a16b38ea1d264,"""Nelson Petroleum Buzachi B.V."" и ""СНПС Интернешионал (Бузачи) Инк."" ",Добыча,"месторождение Бузачи Северные в пределах блока XXXII-11-А (частично),B(частично),C(частично),D(частично),E(частично),F (частично). ", CNPC (КНР)                                                                                                               Nelson Petroleum B.V. ,4974-УВС  от     25.10.2021 года      ,Мангистауская область,25.10.2041г.,101,,
6566e2213e7a16b38ea1d265,"АО ""ПетроКазахстан Кумколь Ресорсиз""",Добыча,месторождение Кумколь Южный  в пределах блока XXVIII-39- Е (частично,"АО ""РД ""КазМунайГаз»                                                                                                CNPC",  4980-УВС      от 15.11.2021года           ,Карагандинская область,10.12.2041г.,102,,
6566e2213e7a16b38ea1d266,"АО ""ПетроКазахстан Кумколь Ресорсиз""",Добыча,Месторождение Бухарсай,"АО ""РД ""КазМунайГаз», CNPC",4992-УВС от 13.12.2021 года ,Карагандинская область,13.12.2046г.,103,,
6566e2213e7a16b38ea1d267,"ТОО ""ALTYN KOZ LTD KZ""",Разведка и добыча,участок Урхур,Молдожанов Асанали Маратулы\nКурбанов Аязбек Ниязбекович ,4997-УВС от 14.12.2021 года,Актюбинская область,14.12.2027г.,104,,
6566e2213e7a16b38ea1d268,"ТОО ""Oil Tolling Capital""",Разведка и добыча,участок Такырсай,Абдрахманов Бахтияр Муратбекович,4998-УВС от 15.12.2021 года,Кызылординская область,15.12.2027г.,105,,
6566e2213e7a16b38ea1d269,Частная компания «T Development Ltd» и TOO «Qazaq Oil 13»,Добыча,участок Тортай ,"Частная компания «T Development"": Кусаинова Алия Амиржановна    Калиев Ихлас Мухамбеткалиевич\nТОО «Qazaq Oil 13»: ЕСИМОВ СЕИТЖАН СМАГУЛОВИЧ;\nНАҒЫМ СӘЛІМ ЖАҢАБАЙҰЛЫ;",4999-УВС от 20.12.2021 года,Атырауская область ,20.12.2024г.,106,,
6566e2213e7a16b38ea1d26a,"ТОО ""BNG Ltd» ",Добыча,участок Елемес Южный,Куат Оразиман\nDaehan New Pharma\nДосбол Жолдыбаев\nCody Star Investment ,5005-УВС от 23.12.2021 года ,Мангистауская область,23.06.2044г.,107,,
6566e2213e7a16b38ea1d26b,"ТОО ""Orda B.B.""",Разведка и добыча,участок Нуралы Западный,АБДРАМАНОВ ЖАКСЫЛЫК БАХТИЯРОВИЧ;,5006-УВС от 23.12.2021 года ,Кызылординская область,15.12.2027г.,108,,
6566e2213e7a16b38ea1d26c,"ТОО ""Ертис Ойл энд Газ""",Разведка и добыча,Участок Прииртышский,СЕЙТЖАНОВА ЖАННА СЕРИКЖАНОВНА;\nСЕЙТЖАНОВА КАНШАИМ КУДАЙБЕРГЕНОВНА;\nСЕЙТЖАНОВ БАУРЖАН СЕРИКЖАНОВИЧ;\nСЕЙІТЖАН БАҚЫТЖАН СЕРІКЖАНҰЛЫ;\nСЕЙТЖАНОВ НУРЖАН СЕРИКЖАНОВИЧ;\nСЕЙТЖАНОВ СЕРИКЖАН;\nЕБРАШЕВА АЛИЯ ЕСЛЯШЕВНА;\nЗАИТОВ МАХМУДЖАН ИМИНЖАНОВИЧ;\nАЙДАРОВ БАГЛАН БАКЫТЖАНОВИЧ;,5009-УВС от 30.12.2021 года ,Павлодарская область,30.12.2027г.,109,,
6566e2213e7a16b38ea1d26d,АО «Матен Петролеум»,Добыча,"месторождение Кара-Арна в пределах блока XXIX–14-B (частично), С (частично)",SINO-SCIENCE NETHERLANDS ENERGY GROUP\nB.V.\nАБЛАЗИМОВ БАХАРИДИН НУГМАНОВИЧ,230 от 07.09.1998 года,Атырауская область            Жылыойский район,16.04.2038,11,,
6566e2213e7a16b38ea1d26e,"ТОО ""Mangyshlak Petroleum""",Разведка и добыча,Участок Урджар," \nТОО ""ИНВЕСТ-Ойл Групп Лтд."", \nИМАДОВ МАГОМЕД АСХАБОВИЧ;\n",5010-УВС от 30.12.2021 года,Восточно-Казахстанская область,31.12.2027г.,110,,
6566e2213e7a16b38ea1d26f,"ТОО ""Люминор групп""",Разведка и добыча,Участок Алашантакыр, Жаншаев Ертай Муратович,5013-УВС от 17.01.2022 года ,Мангистауская область,17.01.2028г.,111,,
6566e2213e7a16b38ea1d270,"ТОО ""BK Engineering""",Разведка и добыча,Участок Коныс Южный,"Алибеков Акилбек Сандибекович,\nБатталова Куралай Сериковна,\nДосмухамедова Гульмира Балхашевна,                                                      Айтбаев Таукен Еркасович ",5014-УВС от 19.01.2022 года,Кызылординская область,19.01.2028г.,112,,
6566e2213e7a16b38ea1d271,"ТОО ""Sapatek Munay""",Разведка и добыча,Участок Cарайшык, Оразбекова Айгерим Кайратовна,5015-УВС от 19.01.2022 года,Атырауская область ,19.01.2028г.,113,,
6566e2213e7a16b38ea1d272,"ТОО ""ENERPLUS""",Разведка и добыча,Участок Карашагыр,Әлімжан Диас Оралбайұлы,5016-УВС от 19.01.2022 года,Атырауская область ,19.01.2028г.,114,,
6566e2213e7a16b38ea1d273,"ТОО ""КазНедраПроект""",Разведка и добыча,Участок Бектас,КАБИЕВ РУСЛАН БЕРИКЖАНОВИЧ;\nВЕРЕВКИНА ТАТЬЯНА АЛЕКСЕЕВНА;\nКОНОНОВ ДМИТРИЙ АЛЕКСАНДРОВИЧ;\nКОНОНОВА ИРИНА АЛЕКСАНДРОВНА;,5017-УВС от 19.01.2022 года,Кызылординская область,19.01.2028г.,115,,
6566e2213e7a16b38ea1d274,"ТОО ""Сарайшык Petroleum""",Разведка и добыча,Участок Забурунье, Нацибулин Виктор Александрович,5018-УВС от 19.01.2022 года,Атырауская область ,19.01.2028г.,116,,
6566e2213e7a16b38ea1d275,"Частная компания ""HTS Exploration Ltd.""",Добыча,Месторождение Алашказган,Калиева Айгуль Мухамбеткалиевна,5019-УВС от 20.01.2022 года,Актюбинская область,20.01.2047г.,117,,
6566e2213e7a16b38ea1d276,"Частная компания ""HTS Exploration Ltd.""",Разведка и добыча,Участок Атанат,Калиева Айгуль Мухамбеткалиевна,5020-УВС от 20.01.2022 года,Атырауская область ,20.01.2028г.,118,,
6566e2213e7a16b38ea1d277,"ТОО ""Kurasha Petroleum""",Разведка и добыча,Участок Кураша,Бердикулова Эльмира Дуйсеновна\nАшимов Нурлан Болатбекович ,5022-УВС от 15.02.2022 года,Актюбинская область,15.02.2028г.,119,,
6566e2213e7a16b38ea1d278,"Компании ""Петро Казахстан венчерс ИНК"",""Ориент Петролеум(Сентрал Эйжа),ЛТД""",Разведка и добыча    ,"в пределах блоков - XXIX-37-A, В (частично), С (частично), D, Е, F (частично); XXXI-40; XXXI-41; ХХХИ-41","АО ""РД ""КазМунайГаз», CNPC",240-УВС от 18.09.1998 года,Кызылординская область,09.10.2025,12,,
6566e2213e7a16b38ea1d279,"ТОО ""Майтас Геосервис""",Разведка и добыча,Участок Ушоба, Турлыгазиева Тамила Куанышевна,5023-УВС от 15.02.2022 года,Мангистауская область,15.02.2028г.,120,,
