Жер қойнауын пайдаланушы (RU);келісімшарттың № (KZ);келісімшарттың берілген күні (RU);келісімшарттың берілген күні (KZ);№;Жер қойнауын пайдаланушы (KZ);келісімшарттың № (RU)
ТОО Баур Голд;555;20.10.2000.;20.10.2000.;1;ЖШС Баур Голд;555
"ТОО ""Каскад-Н""";2136;23.08.2006.;23.08.2006.;2;"ЖШС ""Каскад-Н""";2136
"ТОО ""АС ""Горняк""";77;29.11.1996.;29.11.1996.;3;"ЖШС ""АС ""Горняк""";77
"ТОО ""Боке""";2436;30.07.2007.;30.07.2007.;4;"ЖШС ""Боке""";2436
ТОО Эр Джи голд;486;19.06.2000.;19.06.2000.;5;ЖШС Эр Джи голд;486
"АО ""ГМК Казахалтын""";917;03.04.2002.;03.04.2002.;6;"АҚ ""ГМК Казахалтын""";917
"АО ""ГМК Казахалтын""";762;11.10.2001.;11.10.2001.;7;"АҚ ""ГМК Казахалтын""";762
"АО ""ГМК Казахалтын""";761;11.10.2001.;11.10.2001.;8;"АҚ ""ГМК Казахалтын""";761
ТОО Алтын Групп Казахстан;299;04.03.1999.;04.03.1999.;9;ЖШС Алтын Групп Казахстан;299
АО АК Алтыналмас;636;19.02.2001.;19.02.2001.;10;АҚ АК Алтыналмас;636
ТОО Голд Стоун ЭлЭлПи;176;21.05.1998.;21.05.1998.;11;ЖШС Голд Стоун ЭлЭлПи;176
ТОО Зерттеу - Ш;1604;07.12.2002.;07.12.2002.;12;ЖШС Зерттеу - Ш;1604
ТОО Golden Compass Jambyl;2772;29.08.2008.;29.08.2008.;13;ЖШС Golden Compass Jambyl;2772
Акбакайский  ГМК;2577;15.02.2008.;15.02.2008.;14;Акбакайский  ГМК;2577
"АО ФИК ""Алел""";47А;27.07.1996.;27.07.1996.;15;"АҚ ФИК ""Алел""";47А
ТОО CentralAsiaGold Corp ;1576;20.11.2004.;20.11.2004.;16;ЖШС CentralAsiaGold Corp ;1576
ТОО Комаровское горное предприятие;633;12.12.2000.;12.12.2000.;17;ЖШС Комаровское горное предприятие;633
"ТОО ""Бакырчикское ГДП""";120;02.07.1997.;02.07.1997.;18;"ЖШС ""Бакырчикское ГДП""";120
"ТОО ""Алтыналмас""";1021;23.10.2002.;23.10.2002.;19;"ЖШС ""Алтыналмас""";1021
"ТОО ""Кен Тобе""";2244;27.12.2006.;27.12.2006.;20;"ЖШС ""Кен Тобе""";2244
ТОО СП Сага Крик Голд Компани;84А;28.02.1997.;28.02.1997.;21;ЖШС СП Сага Крик Голд Компани;84А
"ТОО ""Достык""";759;11.10.2001.;11.10.2001.;22;"ЖШС ""Достык""";759
"ТОО ""Комкон""";371;29.09.1999.;29.09.1999.;23;"ЖШС ""Комкон""";371
"ТОО ""Казцинк""";559;07.11.2000.;07.11.2000.;24;"ЖШС ""Казцинк""";559
АО АК Алтыналмас;34;27.12.1995.;27.12.1995.;25;АҚ АК Алтыналмас;34
"ТОО ""Таскара""";88;14.01.1997.;14.01.1997.;26;"ЖШС ""Таскара""";88
"ТОО ""Таскара""";2908;22.11.2008.;22.11.2008.;27;"ЖШС ""Таскара""";2908
ТОО Алтынтау Кокшетау;1185;07.07.2003.;07.07.2003.;28;ЖШС Алтынтау Кокшетау;1185
ТОО АулиеГолд Майнинг;949;24.05.2002.;24.05.2002.;29;ЖШС АулиеГолд Майнинг;949
АО Варваринское;108;03.03.1997.;03.03.1997.;30;АҚ Варваринское;108
"АО ""ГМК Казахалтын""";145;07.12.1997.;07.12.1997.;31;"АҚ ""ГМК Казахалтын""";145
АО АК Алтыналмас;653;18.04.2001.;18.04.2001.;32;АҚ АК Алтыналмас;653
Алтыналмас АК.;68;15.10.1996.;15.10.1996.;33;Алтыналмас АК.;68
Алтыналмас АК.;2359;11.05.2007.;11.05.2007.;34;Алтыналмас АК.;2359
Алтыналмас АК.;1089;29.12.2002.;29.12.2002.;35;Алтыналмас АК.;1089
"ТОО ""Алтынех компании""";830;14.12.2001.;14.12.2001.;36;"ЖШС ""Алтынех компании""";830
ТОО Мархит;1210;26.08.2003.;26.08.2003.;37;ЖШС Мархит;1210
ТОО Альгольд;1182;10.06.2003.;10.06.2003.;38;ЖШС Альгольд;1182
"ТОО ""Жерек""";203;27.07.1998.;27.07.1998.;39;"ЖШС ""Жерек""";203
ТОО Терискей; 79;25.08.2000.;25.08.2000.;40;ЖШС Терискей; 79
"ТОО ""Inter Gold Capital""";47;24.06.1996.;24.06.1996.;41;"ЖШС ""Inter Gold Capital""";47
"ТОО ""Алтыналмас""";273;30.11.1998.;30.11.1998.;42;"ЖШС ""Алтыналмас""";273
"АО ""Майкаинзолото""";349;26.07.1999.;26.07.1999.;43;"АҚ ""Майкаинзолото""";349
"ТОО ""Форпост"" ДП ""Глобал Бизнес""";272;23.11.1998.;23.11.1998.;44;"ЖШС ""Форпост"" ДП ""Глобал Бизнес""";272
ТОО Марум жар голд;58;05.09.1996.;05.09.1996.;45;ЖШС Марум жар голд;58
ТОО IRG Kazakhstan;37;29.02.1996.;29.02.1996.;46;ЖШС IRG Kazakhstan;37
ТОО Блок Зет;2107;17.07.2006.;17.07.2006.;47;ЖШС Блок Зет;2107
ТОО Бренд;2182;23.10.2006.;23.10.2006.;48;ЖШС Бренд;2182
ТОО Атыгай Голд Майнинг;2639;05.05.2008.;05.05.2008.;49;ЖШС Атыгай Голд Майнинг;2639
ТОО Акмолит;1016;23.10.2002.;23.10.2002.;50;ЖШС Акмолит;1016
ТОО Кызлту;2223;14.12.2006.;14.12.2006.;51;ЖШС Кызлту;2223
ТОО Мынарал Ресорсиз;1822;01.09.2005.;01.09.2005.;52;ЖШС Мынарал Ресорсиз;1822
ТОО АПМ Хантау;2566;31.01.2008.;31.01.2008.;53;ЖШС АПМ Хантау;2566
ТОО Мынарал Голд;2687;12.06.2008.;12.06.2008.;54;ЖШС Мынарал Голд;2687
ТОО Алтынсайгео ;2809;08.10.2008.;08.10.2008.;55;ЖШС Алтынсайгео ;2809
"ТОО ""Алтынех компании""";2560;28.01.2008.;28.01.2008.;56;"ЖШС ""Алтынех компании""";2560
ТОО Бузгул Аурум;1809;16.08.2005.;16.08.2005.;57;ЖШС Бузгул Аурум;1809
ТОО Визол;63;10.10.1996.;10.10.1996.;58;ЖШС Визол;63
ТОО СП Тау Голд Коппер;4133-ҚПҚ;31.07.2012.;31.07.2012.;59;ЖШС СП Тау Голд Коппер;4133-ТПИ
ТОО ГРК Мaralicha-Gold;4168-ҚПҚ;29.12.2012.;29.12.2012.;60;ЖШС ГРК Мaralicha-Gold;4168-ТПИ
ТОО Ардо Ресорсиз;1439;01.07.2004.;01.07.2004.;61;ЖШС Ардо Ресорсиз;1439
ТОО Кеншуак;4217-ҚПҚ;08.05.2013.;08.05.2013.;62;ЖШС Кеншуак;4217-тпи
ТОО Горнорудная компания Шарык;4243-ҚПҚ;16.07.2013.;16.07.2013.;63;ЖШС Горнорудная компания Шарык;4243-тпи
ТОО Шугыла Голд;4244-ҚПҚ;16.07.2013.;16.07.2013.;64;ЖШС Шугыла Голд;4244-ТПИ
ТОО Сенташ;4238-ҚПҚ;16.07.2013.;16.07.2013.;65;ЖШС Сенташ;4238-ТПИ
ИП Вест Голд Минералс Лимитед;4255-ҚПҚ;01.08.2013.;01.08.2013.;66;ИП Вест Голд Минералс Лимитед;4255-тпи
ТОО Маралиха;4327-ҚПҚ;27.12.2013.;27.12.2013.;67;ЖШС Маралиха;4327-тпи
ТОО ГРК Манка;4328-ҚПҚ;27.12.2013.;27.12.2013.;68;ЖШС ГРК Манка;4328-тпи
ТОО «Казникель»;1349;26.02.2004.;26.02.2004.;69;ЖШС «Казникель»;1349
"ТОО ""Баст""";1755;26.05.2005.;26.05.2005.;70;"ЖШС ""Баст""";1755
"ТОО ""ГРК МЛД""";2314;28.02.2007.;28.02.2007.;71;"ЖШС ""ГРК МЛД""";2314
"ТОО ""Казцинк""";2450;20.08.2007.;20.08.2007.;72;"ЖШС ""Казцинк""";2450
"ТОО ""Ай-Карааул""";2611;22.04.2008.;22.04.2008.;73;"ЖШС ""Ай-Карааул""";2611
АО Алюминий Казахстана, филиал КБРУ;187;29.05.1998.;29.05.1998.;74;АҚ Алюминий Казахстана, филиал КБРУ;187
"ТОО ""Fonet Er-Tai AK Mining""";1533;29.10.2004.;29.10.2004.;75;"ЖШС ""Fonet Er-Tai AK Mining""";1533
ТОО Сары Казна;2447;20.08.2007.;20.08.2007.;76;ЖШС Сары Казна;2447
"ТОО СП ""Жетымшокы""";3396;14.07.2009.;14.07.2009.;77;"ЖШС СП ""Жетымшокы""";3396
ЕР-ТАЙ ТОО, NOVA  ЦИНК ТОО;853;28.12.2001.;28.12.2001.;78;ЕР-ТАЙ ЖШС, NOVA  ЦИНК ЖШС;853
ТОО Консалидированная строительная горнорудная компания;1777;23.06.2005.;23.06.2005.;79;ЖШС Консалидированная строительная горнорудная компания;1777
ТОО Востокцветмет;113;28.05.1997.;28.05.1997.;80;ЖШС Востокцветмет;113
"ТОО ""Корпорация Казахмыс""";109;03.03.1997.;03.03.1997.;81;"ЖШС ""Корпорация Казахмыс""";109
ТОО Актобе Кен;3737-ҚПҚ;04.10.2010.;04.10.2010.;82;ЖШС Актобе Кен;3737-тпи
"ТОО ""Автотранссервис""";528;04.09.2000.;04.09.2000.;83;"ЖШС ""Автотранссервис""";528
"ТОО ""Казцинк""";91;21.05.1997.;21.05.1997.;84;"ЖШС ""Казцинк""";91
"ТОО ""Казцинк""";92;21.05.1997.;21.05.1997.;85;"ЖШС ""Казцинк""";92
ТОО СП Казахстанско-Российская рудная компания;1605;07.12.2004.;07.12.2004.;86;ЖШС СП Казахстанско-Российская рудная компания;1605
АО Алюминий Казахстана, филиал КБРУ;2119;26.07.2006.;26.07.2006.;87;АҚ Алюминий Казахстана, филиал КБРУ;2119
"ТОО ""Корпорация Казахмыс""";243;18.09.1998.;18.09.1998.;88;"ЖШС ""Корпорация Казахмыс""";243
"ТОО ""Корпорация Казахмыс""";2321;11.03.2007.;11.03.2007.;89;"ЖШС ""Корпорация Казахмыс""";2321
"ТОО ""Северный Катпар""";1032;04.11.2002.;04.11.2002.;90;"ЖШС ""Северный Катпар""";1032
"ТОО ""Корпорация Казахмыс""";1681;03.03.2005.;03.03.2005.;91;"ЖШС ""Корпорация Казахмыс""";1681
"ТОО ""Корпорация Казахмыс""";2139;01.09.2006.;01.09.2006.;92;"ЖШС ""Корпорация Казахмыс""";2139
ТОО Казахмыс Бозшаколь;2494;26.11.2007.;26.11.2007.;93;ЖШС Казахмыс Бозшаколь;2494
